id,username,location,followers,public_repos
468627,Kris2510,b'Stuttgart, Germany',0,8
468634,jottinger,b'North Carolina',9,70
468636,iworks,b'Poland',12,13
468637,martin-froehlich,b'Bielefeld, Germany',0,0
468638,chrisweight,b'Plymouth, UK',3,3
468640,ruSunrise,b'Russia, Ekaterinburhg',0,4
468642,Shambou,b'Sarajevo',2,6
468643,mikeybeck,b'NZ',17,22
468654,gpbonifazi,b'Barcelona, Spain',5,7
468655,yviktorov,b'Ukraine',0,9
468659,tokuzfunpi,b'Taiwan',0,3
468660,TheHmmka,b'',1,2
468664,ekd123,b'Shaanxi, China',47,14
468669,damiansb,b'So Carlos - SP - Brazil',2,4
468673,daviddutch,b'Fribourg, Switzerland',0,7
468674,micsch,b'Sandvika, Norway',2,6
468675,jhausherr,b'Hamburg',0,0
468680,gordonchristie,b'Edinburgh, Scotland',1,7
468681,jonzuo,b'Guangzhou',1,2
468689,shwashbuckle,b'Adelaide, South Australia',0,1
468691,blimeycreative,b'Nottingham',1,12
468692,pierrelevy,b'Paris, France',7,7
468698,rukkal,b'Switzerland',0,3
468701,glp,b'Vienna',2,1
468706,fspillner,b'Mnchen',8,20
468709,bazaha,b'China',2,17
468715,GMcD,b'London, United Kingdom',2,21
468717,jeremysingy,b'Switzerland',1,4
468720,dargad,b'Wrocaw, Poland',0,14
468721,haylax,b'Istanbul Turkey',2,5
468727,hammacher,b'Saarbrcken, Germany',6,8
468730,vskram21,b'India',0,5
468737,Buttyx,b'Zrich',4,9
468739,WW3,b'Israel, Tel Aviv',1,46
468741,npalmqvist,b'Stockholm, SWEDEN',7,7
468744,msdundar,b'Linkping/Sweden',60,17
468748,Sandyman,b'Balcatta, WA',0,8
468751,alvarolopez,b'Spain',8,41
468752,diablero13,b'Ukraine, Kiev',2,12
468758,nseveridt,b'Jacksonville Beach, FL',1,1
468768,bjuvensjo,b'Stockholm',9,16
468769,f26e,b'Darmstadt, Germany',0,0
468770,daerty0153,b'Bangalore',0,4
468774,oyvindbo,b'Oslo, Norway',6,0
468776,julesce,b'Port Elizabeth, South Africa',7,24
468779,yesdevnull,b'Perth, Australia',19,25
468786,elost,b'Russia, Kazan',1,6
468787,DanielChu,b'Sydney, Australia',0,9
468790,koodaamo,b'Helsinki, Finland',0,77
468792,dreamadict,b'Chicago',0,3
468793,Legba,b'Norway',0,1
468794,matheusjardimb,b'Porto Alegre, Brazil',8,19
468796,Shtian,b'Oslo',2,17
468801,namad,b'Kiev, Ukraine',2,3
468807,mgdelcar,b'Raleigh, NC',0,1
468815,jsantiago,b'Chicago, IL',3,31
468816,Rochet2,b'Finland',41,33
468819,lucasgomes,b'So Paulo, SP',0,3
468820,fbrnc,b'San Francisco',437,66
468822,ninsen,b'London',11,19
468833,cea2k,b'Santiago, Chile',7,27
468834,roothahn,b'germany',0,1
468837,diegollarrull,b'New York',7,5
468838,akmurray,b'Texas',4,6
468842,rolfanders,b'Trondheim, Norway',0,11
468844,pidodo,b'XingNing GuangDong China',5,25
468847,carl0s,b'Rome',6,20
468851,schaefer0,b'Off route 40, Westford MA',0,3
468856,mahimahi42,b'USA',6,38
468858,alekseypechenin,b'Russia',0,5
468861,davidmat,b'Brussels, Belgium',1,4
468871,mfiguiere,b'San Francisco',16,0
468873,ickard,b'Stockholm, Sweden',1,2
468876,webair,b'Bern, Switzerland',15,13
468881,hoxnox,b'Moscow',0,32
468889,pixelscript,b'Teesside',4,17
468894,JoakimAndersen,b'Kongsvinger, Norway',1,2
468897,DougOpheim,b'Eden Prairie, MN',2,0
468898,misli,b'Czech republic',5,37
468901,Sliborskii,b'Belarus, Minsk',0,0
468903,njess,b'San Francisco, CA',2,1
468904,dmbryson,b'San Jose, CA',9,4
468908,Astrum-Solar,b'Annapolis Junction, MD',0,0
468914,devosoft,b'Michigan State University, East Lansing, MI',0,4
468916,DonaldSayers,b'Chattanooga',4,2
468917,REMitchell,b'Needham, MA',113,14
468928,tribhuvanesh,b'Zrich',11,15
468930,jonmike,b'Dakar, Senegal.',0,2
468935,peripecio,b'Madrid (Spain)',5,10
468940,oscarkilhed,b'Stockholm, Sweden',6,9
468941,michaelis,b'Lisbon, Portugal',0,3
468944,LennartSchlieder,b'Germany',1,1
468948,aceofaces,b'St. Paul, MN, USA',0,2
468949,luenemam,b'Lrrach - Germany',0,5
468950,lubomyr,b'Lviv, Ukraine',5,17
468951,Rroia,b'Germany',2,1
468954,No5251,b'Stuttgart, Germany',15,19
468961,ashrobbins,b'Bournemouth, UK',5,3
468962,chriskiefer,b'Brighton',24,8
