36;KirinDave;San Francisco, CA;291;67;{'C#': 46677, 'OCaml': 23109, 'Haskell': 254682, 'Clojure': 41339, 'Java': 196186, 'JavaScript': 140100, 'Smalltalk': 21999, 'Shell': 11962, 'Erlang': 689991, 'Objective-C': 25658, 'Emacs Lisp': 20863103, 'Ruby': 214377, 'VimL': 2235, 'PHP': 101525, 'C++': 1183791, 'Python': 87218, 'Perl': 44964, 'Scheme': 18161, 'C': 376959}
37;jamesgolick;New York;576;110;{'DOT': 1898, 'Shell': 131127, 'CSS': 50389, 'Scala': 89114, 'JavaScript': 12748, 'Erlang': 60940, 'Objective-C': 233316, 'VimL': 1180978, 'Ruby': 840417, 'C++': 1606434, 'Python': 2903, 'Perl': 170439, 'Assembly': 3686, 'C': 792961}
38;atmos;Potrero, SF;991;162;{'Shell': 863666, 'CSS': 18124, 'HTML': 348948, 'JavaScript': 774768, 'CoffeeScript': 210495, 'Lua': 4663, 'Objective-C': 10323, 'Java': 13193, 'Racket': 22, 'Makefile': 3300, 'Ruby': 1145067, 'C++': 460828, 'Go': 18175, 'Perl': 906262, 'C': 674718}
45;mojodna;Seattle, WA;288;192;{'Python': 1960386, 'PHP': 25790, 'Shell': 38044, 'F#': 3497, 'XSLT': 471, 'Scala': 11213, 'JavaScript': 1074049, 'CSS': 6185, 'HTML': 3566, 'Protocol Buffer': 3268, 'Objective-C': 7575, 'Java': 430393, 'Racket': 36, 'Makefile': 6181, 'Ruby': 190813, 'C++': 2347324, 'Prolog': 1338, 'C#': 21941, 'C': 1479291}
47;jnewland;Austin, TX;452;79;{'PHP': 14845, 'Shell': 842, 'Groovy': 26025, 'Ruby': 563710, 'JavaScript': 220131, 'Perl': 848}
48;joshknowles;New York, NY;90;9;{'Ruby': 67128, 'JavaScript': 492, 'Shell': 469}
49;hornbeck;Lawton, OK;49;8;{'Erlang': 903, 'PHP': 1052, 'Scheme': 74465, 'Ruby': 102917, 'JavaScript': 102391, 'R': 6556, 'Arc': 203354, 'Shell': 486}
50;jwhitmire;Rochester, NY;32;36;{'Shell': 144026, 'Emacs Lisp': 1066592, 'ApacheConf': 4717, 'VimL': 12946, 'Ruby': 271415, 'Perl': 44390, 'Python': 2712, 'JavaScript': 87378}
51;elbowdonkey;Portland, OR;17;30;{'PHP': 30228, 'Shell': 107583, 'CSS': 41403, 'Batchfile': 1371, 'HTML': 12573712, 'JavaScript': 1976300, 'CoffeeScript': 422, 'D': 3439, 'Arduino': 6322, 'Java': 8611, 'Ruby': 70768, 'C++': 3499591, 'Python': 10294, 'Perl': 76969, 'Assembly': 2291, 'C': 1167017}
52;reinh;Portland, OR;156;180;{'Shell': 1389, 'CSS': 3371, 'Elixir': 7739, 'Perl': 1211, 'CoffeeScript': 25487, 'Emacs Lisp': 89078, 'Erlang': 5555, 'TeX': 59189, 'Java': 102, 'VimL': 551318, 'Ruby': 490709, 'C++': 173, 'Haskell': 126732, 'JavaScript': 1388998, 'C': 172}
53;knzconnor;San Francisco, CA;54;25;{'VimL': 353, 'Ruby': 21506, 'Shell': 4712}
68;bs;San Fransico, CA;92;7;{'Objective-C': 13665, 'Shell': 52416, 'CSS': 1344, 'VimL': 8982, 'Ruby': 73197, 'JavaScript': 140201}
69;rsanheim;Madison, WI, NORTH AMERICA;155;43;{'VimL': 5425, 'Ruby': 226349, 'JavaScript': 1735, 'Shell': 5281, 'CSS': 236}
70;schacon;San Francisco, CA;10988;183;{'DOT': 38912, 'ActionScript': 288308, 'XSLT': 5107632, 'Perl6': 9484, 'Shell': 40844, 'CSS': 21495, 'Groff': 328, 'HTML': 56410, 'JavaScript': 1240567, 'CoffeeScript': 6078, 'ApacheConf': 3235, 'Erlang': 63670, 'Objective-C': 871920, 'Java': 29, 'Makefile': 1398, 'Ruby': 1020335, 'Python': 470829, 'Perl': 134276, 'Arduino': 710, 'C': 414298}
71;uggedal;Oslo, Norway;156;34;{}
72;bruce;Portland, OR;128;79;{'Clojure': 100, 'Shell': 665, 'CSS': 318, 'HTML': 1188, 'JavaScript': 31374, 'CoffeeScript': 3582, 'Elixir': 7208, 'Erlang': 1961, 'Ragel in Ruby Host': 2417, 'Rust': 1985, 'Emacs Lisp': 44161, 'Puppet': 715, 'Ruby': 1002984, 'Haskell': 2451, 'C': 24912}
73;sam;Dallas, TX;110;36;{'Shell': 53, 'Java': 18777, 'Racket': 90, 'Ruby': 320426, 'Scala': 37549, 'CoffeeScript': 493, 'JavaScript': 10635}
74;mmower;Berkshire, England;47;59;{'Clojure': 24719, 'VimL': 8756, 'Objective-C': 864657, 'Shell': 921, 'CSS': 4506, 'HTML': 5197, 'Ruby': 133611, 'JavaScript': 2417886, 'C++': 14383, 'C': 123385}
75;abhay;San Francisco, CA;41;31;{'Erlang': 405131, 'Shell': 632, 'Ruby': 53652, 'C++': 4983, 'Assembly': 81741, 'C': 184132}
76;rabble;PDX;114;17;{'HTML': 41731, 'Ruby': 125336, 'JavaScript': 171264, 'CSS': 60171}
77;benburkert;SF;146;118;{'C': 122850, 'Augeas': 1258, 'Go': 1916035, 'Shell': 14659, 'CSS': 16, 'VimL': 4231, 'Ruby': 1597896, 'JavaScript': 34940, 'Objective-C': 139988, 'C++': 450094, 'Puppet': 1549}
78;indirect;San Francisco;601;132;{'Handlebars': 51, 'Rust': 16376, 'Shell': 5254, 'CSS': 26746, 'ApacheConf': 92, 'HTML': 29389, 'Ruby': 211345, 'JavaScript': 106773, 'CoffeeScript': 366, 'Puppet': 1209}
79;fearoffish;Skipton, UK;31;87;{'Erlang': 4009, 'PHP': 4083, 'Shell': 62039, 'CSS': 9706, 'Ruby': 301131, 'JavaScript': 997481, 'CoffeeScript': 1498, 'Perl': 580035}
81;engineyard;San Francisco, CA;0;260;{'ActionScript': 39892, 'Python': 1560, 'PHP': 89809696, 'Shell': 42425, 'CSS': 3133726, 'HTML': 446814, 'JavaScript': 8344822, 'CoffeeScript': 3847, 'PowerShell': 1028, 'Erlang': 281701, 'Visual Basic': 81451, 'Java': 36449, 'Racket': 57, 'Handlebars': 21695, 'Ruby': 3867589, 'C++': 165943, 'XSLT': 11447, 'Perl': 414, 'C': 89973}
82;jsierles;Sevilla, Spain;158;135;{'Java': 4385, 'CoffeeScript': 211, 'Objective-C': 40718, 'Shell': 88989, 'CSS': 68318, 'HTML': 24761, 'Ruby': 223381, 'Perl': 227628, 'Python': 1621, 'JavaScript': 121054, 'C': 13408}
83;tweibley;Florida;23;11;{}
