473989,dmente03,Recife - PE,1,22
473994,jroxendal,Sweden,4,9
474006,selifan,Moscow - Russia,1,5
474012,toupar,Wuhan -RPC,2,2
474014,egelmex,Ashford - UK,25,24
474017,Somebi,Latvia,12,7
474018,cg-d,Wilhelmshher Allee 268 - 34131 Kassel,2,11
474021,scottgerring,Perth - Western Australia,2,15
474031,Retroboy2,Oslo - Norway,0,2
474032,achak1987,Stavanger - Norway,1,5
474042,njozwiak,Paris,11,9
474047,nbarraille,San Francisco - CA,33,2
474050,sergejk,Kassel - Germany,0,0
474054,dksh,Tokyo - Japan,1,7
474056,YaroshenkoAL,Kyiv,0,0
474058,creado,Stockholm - Sweden,0,4
474059,mubashariqbal,Clifton Park - NY,19,17
474063,deanwilliams,Portsmouth - UK,1,16
474069,SamuViegas,Brasil,0,1
474071,Insignio,Ludwig-Erhard-Strae 14 - 34131 Kassel - Germany,0,0
474074,dogphaze,Bruges - Belgium,0,0
474076,gregstewart,London,11,44
474081,prianto,Jakarta,0,1
474093,ben-gilman,Charlotte - NC,1,1
474094,arazmj,Melbourne - Florida - Unites States,3,31
474095,arenhag,Stockholm,1,4
474098,bjoern-i-skype,Berlin,1,0
474103,maribal,Toronto - ON,0,0
474110,PushSocial,Stockholm - Sweden,0,1
474111,Lalolanda,San Martin - Buenos Aires - Argentina,0,1
474113,noretoft,Sweden Lund,0,0
474118,storkie,Denmark,9,0
474126,Akick,Ukraine,0,0
474133,nivox,Trento - Italy,1,15
474135,kcoyner,Connecticut :: New York,1,2
474140,Terentich,Saint-Petersburg,1,3
474149,dogfood20,Slough - United Kingdom,0,1
474152,maddien2k3,Erfurt - Germany,3,7
474158,dheerosaur,Hyderabad,22,15
474160,kevpem,UK,0,0
474163,platoff,Novosibirsk - Russia,8,2
474164,xored,Novosibirsk - Russia,0,53
474168,HKLF4,Nizhny Novgorod - Russia,1,0
474171,tmeinlschmidt,Berlin (DE) || Ceska Lipa (CZ),12,83
474175,benrolfe,Kingston,2,14
474181,nguoianphu,An Phu,2,41
474182,stolsma,The Netherlands,16,40
474188,nazanin,Berlin - Germany,0,0
474200,kptdobe,Basel,2,14
474206,pheiberg,Sweden,14,7
474213,JesusO3Team,Planet Earht (Via Lactea),0,1
474217,AMDmi3,Moscow - Russia,48,108
474220,gracinet,Paris - France,6,12
474225,hackyGQ,New York,5,31
474226,keonji,Saint-Petersburg - Russia,0,0
474227,shahidbd,Bangladesh,1,0
474232,nekuz0r,Belgium,5,18
474237,dencarlsson,Helsingborg - Sweden,0,4
474248,robin-drexler,Hamburg,19,75
474256,syshaaf,Copenhagen - Denmark,4,6
474259,hdemers,Orford - Qubec - Canada,7,17
474269,goetzpartners,Munich - Germany,0,0
474270,matthewfu,Taiwan,7,12
474279,MarcoPlatzner,Paderborn - Germany,0,0
474281,flyder,Quebec City - Canada,7,5
474282,mmocny,Waterloo - Ontario - Canada,88,44
474290,wasade,Boulder - CO,15,53
474295,successoft,Brazil - So Paulo,0,1
474302,bclermont,Malaysia - Indonesia - Hong Kong - Singapore or Vietnam,16,89
474304,dsexton,Ohio,0,10
474311,dhinus,Milano - Italy,40,26
474312,pforret,Brussels - Belgium,1,16
474314,mlamina,Berlin,12,5
474316,the907,United States,3,4
474327,panSarin,Biaystok - Poland,13,16
474329,limenet,Freidorf - Switzerland,8,36
474333,johnlcox,Kansas City,26,44
474343,xavierzwirtz,Oklahoma City,2,32
474346,bettlebrox,Dublin - Ireland,0,13
474347,alxsad,Minsk - Belarus,12,20
474349,guiwuu,Beijing - China,21,3
474350,skwoka,Vancouver - BC,3,19
474354,Szabolcs,Budapest - Hungary,4,0
474356,sethnr,Boston - MA,4,11
474377,kristianroebuck,Lincoln - UK,7,6
474380,mjh2901,Dublin California,0,2
474384,adriancom1,New York City,0,5
474386,hsitz,Seattle - WA,14,4
474389,ultrabug,Paris - France,29,22
474409,Jun-Dai,London - UK,7,11
474413,wbierbower,Mountain View - CA,12,5
474428,Widen,Madison - WI - USA,0,51
474431,IvoMonteiro,Portugal,1,4
474432,jritterbush,Chicago,1,6
474435,streetpacman,New York,0,1
474438,jeffandersen,Halifax - NS,29,29
474444,Drocco08SCU,San Francisco Bay Area,0,1
474463,artschwagerb,New Jersey - US,4,22
474467,mdrovdahl,Seattle - WA,2,6
474468,luyseyal,Austin - TX,1,3
474471,pwhe23,Charlotte - NC,3,19
474473,allanborgespontes,Recife - Pe - Brazil,0,1
474479,normanbrobinson,East Coast - USA,4,15
474486,escherba,San Francisco - CA,36,71
474492,rdrushal,San Jose - CA,5,5
474498,bbhart,Mountain View - CA,1,9
474500,barock19,Jakarta,11,100
474504,wellle,Berlin,31,31
474506,uriahcarpenter,Madison - WI,6,6
474507,jsicotte,Madison - WI,1,4
474513,jonasj76,Vsters - Sweden,2,10
474514,sanyax7,London - UK,11,9
474525,Pobega,New York,3,4
474533,Fedhell,Sudbury - ON - CA,1,1
474536,cgarciagl,Xalapa - Veracruz; Mexico,8,11
474546,TommyFilliater,United States,0,3
474556,childRon,Belarus,3,28
474567,MatthiasWinzeler,Bern - Switzerland,5,15
474576,peterstark72,Malm - sweden,6,17
474577,tarangpatel,Montreal,1,12
474583,mckays630,United States,4,30
474586,Roc1479,New Jersey,1,0
474587,ilkkao,Copenhagen - Denmark,9,26
474592,jsaxin,Ed - Sweden,2,2
474593,1datr,Novocheboxarsk,1,30
474596,hekele,Germany,2,0
474599,rdigithub,Anchorage - AK,0,1
474603,joaovieira,London - UK,4,24
474611,daleasberry,United States,2,5
474617,Maksimka,Tomsk,1,4
474618,goingnowhere,Zaragoza,0,3
474621,marxian,Norwich,18,26
474626,hongdatang,United States,0,2
474635,alexminerdesigns,Illinois,1,3
474636,dragansah,Skopje,28,24
474638,gregorytmorgan,Utah,1,9
474640,holein5,Germantown - TN USA,1,2
474641,gkatny,brooklyn,3,7
474648,petercatch,San Francisco - CA,0,0
474649,joshuap,Portland - OR,23,34
474653,giga1699,USA,5,2
474654,pamam,Loomis - CA,0,0
474659,Clintonio,UK,2,7
474662,grotos,Warsaw - Poland,2,2
474664,alagoon,Utah,5,0
474665,bobgreenlees,New York - NY,0,0
474675,ebakerski,Salt Lake City - Utah,2,2
474676,Mobclix,Palo Alto - CA,0,0
474679,JonathanScher,Auckland,0,12
474687,LogyD,Edmond - OK,1,2
474692,nloreti,Buenos Aires,10,9
474693,saydere,Turkey,6,1
474696,topera,Brazil,1,1
474697,raphael-riel,Qubec - QC - Canada,10,2
474699,bl00dshooter,Rio de Janeiro - Brazil,4,0
474700,argenisg,British Virgin Islands,1,4
474703,keekerdc,Washington - D.C.,8,8
474705,Cumbayah,Copenhagen - Denmark,5,3
474706,bclarkson,Chicago - IL,2,3
474708,calebmpeterson,Texas,3,12
474719,pdo,UK,0,2
474722,igorbel,Dublin - Ireland,2,0
474727,fbs,netherlands,21,11
474728,carlosrdrz,Sevilla,12,12
474730,Estanyol,DD / Germany,0,0
474734,informe,France,0,2
474738,higidi,Germany,11,23
474743,Mensae,Amsterdam - The Netherlands,3,5
474748,nickcatal,Chicago - IL,30,12
474752,auslucan,samsun,16,7
474763,buttonfreak,Alkmaar,0,3
474767,betterwithranch,Nashville - TN,8,25
474772,PK1312,Portland,4,5
474776,raymondjia,Claremont - CA,0,3
474777,mikerodonnell,NYC,4,5
474781,pjamieson,San Francisco Bay Area - California USA,0,3
474792,adamwong246,portland or,5,34
474793,akohlsmith,Canada,1,20
474794,jpsim,San Francisco - CA,511,80
474799,scharc,Karlsruhe - Germany,1,12
474805,lovett,New York - NY USA,18,14
474818,Andriuska,Alytus,0,0
474821,bthesorceror,Boulder - CO,11,65
474824,nunocruz,Amsterdam - Netherlands,12,1
474825,Duende13,London - UK,0,0
474827,patrickleet,New York - NY,26,53
474830,alandmoore,United states -- south.,6,17
474837,local-ch,Switzerland,0,32
474838,jetm,Costa Rica,9,23
474846,ruler88,San Francisco,4,19
474848,ingvirafn,Iceland,4,14
474856,luizcorreia,Belo Horizonte - MG,2,31
474859,AC319,Los Angeles - CA,0,0
474861,horacelin,New York,0,6
474866,joaofx,Braslia - DF - Brazil,1,33
474868,rcardenes,Hawaii,6,3
474869,medun,New York City,3,12
474873,scottbaggett,Los Angeles - CA,5,28
474875,willcritchlow,London,8,7
474878,wesyoung,the Mountains,57,24
474889,altomarketing,buenos Aires  - Argentina,0,1
474890,seandmccarthy,Sydney - Australia,2,25
474891,dell-zhang,Malet Street - London WC1E 7HX - United Kingdom,2,2
474892,Graylog2,Houston - TX & Germany,0,90
